id,key,status,superseded_by,country,code,series,designation,alt_designation,h,b,tw,tf,r1,r2,flange_slope,mass,availability
0x3B6898EA7F,IS808:ISMB 300,active,,India,IS 808:2021,ISMB,ISMB 300,,300,140,7.5,12.4,14,7,14,44.2,current
0x524E95C4A5,IS808:ISMB 350,active,,India,IS 808:2021,ISMB,ISMB 350,,350,140,8.1,14.2,14,7,14,52.4,current
0xE2E327F028,IS808:ISMB 400,active,,India,IS 808:2021,ISMB,ISMB 400,,400,140,8.9,16.0,14,7,14,61.6,current
0xBA0678337F,IS808:ISMB 450,active,,India,IS 808:2021,ISMB,ISMB 450,,450,150,9.4,17.4,15,7.5,14,72.4,current
0x4D47E5515A,IS808:ISMB 500,active,,India,IS 808:2021,ISMB,ISMB 500,,500,180,10.2,17.2,17,8.5,14,86.9,current
0x6C5D7B1276,IS808:ISMB 600,active,,India,IS 808:2021,ISMB,ISMB 600,,600,210,12.0,20.8,20,10,14,122.6,current
0x80F0DFD741,IS808:ISWB 150,active,,India,IS 808:2021,ISWB,ISWB 150,,150,100,5.4,7.0,8,4,14,17.0,current
0xFA799386B9,IS808:ISWB 175,active,,India,IS 808:2021,ISWB,ISWB 175,,175,125,5.8,7.4,9,4.5,14,22.1,current
0x035B6797C2,IS808:ISWB 200,active,,India,IS 808:2021,ISWB,ISWB 200,,200,140,6.1,9.0,10,5,14,28.8,current
0x1D88D188CB,IS808:ISWB 250,active,,India,IS 808:2021,ISWB,ISWB 250,,250,200,6.7,9.0,13,6.5,14,40.9,current
0xACB587B143,IS808:ISWB 300,active,,India,IS 808:2021,ISWB,ISWB 300,,300,200,7.4,10.0,14,7,14,48.1,current
0x0C8C7B6A7A,IS808:ISWB 350,active,,India,IS 808:2021,ISWB,ISWB 350,,350,200,8.0,11.4,14,7,14,56.9,current
0xCF5EBF2E89,IS808:ISWB 400,active,,India,IS 808:2021,ISWB,ISWB 400,,400,200,8.6,13.0,15,7.5,14,66.7,current
0x2B3637D520,IS808:ISWB 450,active,,India,IS 808:2021,ISWB,ISWB 450,,450,200,9.2,15.4,15,7.5,14,79.4,current
0x2E0E07B82E,IS808:ISWB 500,active,,India,IS 808:2021,ISWB,ISWB 500,,500,250,9.9,14.7,15,7.5,14,95.2,current
0xFDA4679063,IS808:ISWB 550,active,,India,IS 808:2021,ISWB,ISWB 550,,550,250,10.5,17.4,15,7.5,14,112.5,current
0x5AC5430AF4,IS808:ISWB 600,active,,India,IS 808:2021,ISWB,ISWB 600,,600,250,11.2,21.3,16,8,14,133.7,current
0x1BCD5F2058,IS808:NPB 120,active,,India,IS 808:2021,NPB,NPB 120,IPE 120,120,64,4.4,6.3,7,0,0,10.4,current
0x67F76E23F6,IS808:NPB 160,active,,India,IS 808:2021,NPB,NPB 160,IPE 160,160,82,5.0,7.4,9,0,0,15.8,current
0x5CB350DF08,IS808:NPB 200,active,,India,IS 808:2021,NPB,NPB 200,IPE 200,200,100,5.6,8.5,12,0,0,22.4,current
0x1A92031421,IS808:NPB 300,active,,India,IS 808:2021,NPB,NPB 300,IPE 300,300,150,7.1,10.7,15,0,0,42.2,current
0x29C89BD77D,IS808:NPB 400,active,,India,IS 808:2021,NPB,NPB 400,IPE 400,400,180,8.6,13.5,21,0,0,66.3,current
0xF8EB3E2BAC,IS808:NPB 600,active,,India,IS 808:2021,NPB,NPB 600,IPE 600,600,220,12.0,19.0,24,0,0,122,current
0x014C84A8F2,IS808:WPB 160,active,,India,IS 808:2021,WPB,WPB 160,HE 160 B,160,160,8.0,13.0,15,0,0,42.6,current
0xA3C9D3320D,IS808:WPB 200,active,,India,IS 808:2021,WPB,WPB 200,HE 200 B,200,200,9.0,15.0,18,0,0,61.3,current
0x50A14CA115,IS808:WPB 240,active,,India,IS 808:2021,WPB,WPB 240,HE 240 B,240,240,10.0,17.0,21,0,0,83.2,current
0x70D011DA63,IS808:WPB 300,active,,India,IS 808:2021,WPB,WPB 300,HE 300 B,300,300,11.0,19.0,27,0,0,117,current
0x3203F1E46F,IS808:WPB 450,active,,India,IS 808:2021,WPB,WPB 450,HE 450 B,450,300,14.0,26.0,27,0,0,171,current
0xB8C8BB9CB0,IS808:WPB 600,active,,India,IS 808:2021,WPB,WPB 600,HE 600 B,600,300,15.5,30.0,27,0,0,212,current
0xD114091C1A,JISG3192:H 100x100x6x8,active,,Japan,JIS G3192,H,H 100x100x6x8,,100,100,6.0,8.0,8,0,0,16.9,current
0x857F99DEEA,JISG3192:H 125x125x6.5x9,active,,Japan,JIS G3192,H,H 125x125x6.5x9,,125,125,6.5,9.0,8,0,0,23.6,current
0x6046C950CE,JISG3192:H 150x150x7x10,active,,Japan,JIS G3192,H,H 150x150x7x10,,150,150,7.0,10.0,8,0,0,31.1,current
0xF0AA12D9AD,JISG3192:H 150x75x5x7,active,,Japan,JIS G3192,H,H 150x75x5x7,,150,75,5.0,7.0,8,0,0,14.0,current
0xFDD7E61029,JISG3192:H 200x100x5.5x8,active,,Japan,JIS G3192,H,H 200x100x5.5x8,,200,100,5.5,8.0,8,0,0,20.9,current
0xC33746D895,JISG3192:H 200x200x8x12,active,,Japan,JIS G3192,H,H 200x200x8x12,,200,200,8.0,12.0,13,0,0,49.9,current
0xD821B85069,JISG3192:H 250x250x9x14,active,,Japan,JIS G3192,H,H 250x250x9x14,,250,250,9.0,14.0,13,0,0,71.8,current
0x79AE2DBCE3,JISG3192:H 300x150x6.5x9,active,,Japan,JIS G3192,H,H 300x150x6.5x9,,300,150,6.5,9.0,13,0,0,36.7,current
0x6053308197,JISG3192:H 300x300x10x15,active,,Japan,JIS G3192,H,H 300x300x10x15,,300,300,10.0,15.0,13,0,0,93.0,current
0x3A5E040D73,JISG3192:H 350x350x12x19,active,,Japan,JIS G3192,H,H 350x350x12x19,,350,350,12.0,19.0,13,0,0,135,current
0x24FB8DB80A,JISG3192:H 400x200x8x13,active,,Japan,JIS G3192,H,H 400x200x8x13,,400,200,8.0,13.0,13,0,0,65.4,current
0xB56A0726BE,JISG3192:H 400x400x13x21,active,,Japan,JIS G3192,H,H 400x400x13x21,,400,400,13.0,21.0,22,0,0,172,current
0xF2B7F8C0A5,JISG3192:H 450x200x9x14,active,,Japan,JIS G3192,H,H 450x200x9x14,,450,200,9.0,14.0,13,0,0,74.9,current
0x3C190C307C,JISG3192:H 500x200x10x16,active,,Japan,JIS G3192,H,H 500x200x10x16,,500,200,10.0,16.0,13,0,0,89.6,current
0xC1F0EF2E30,JISG3192:H 600x200x11x17,active,,Japan,JIS G3192,H,H 600x200x11x17,,600,200,11.0,17.0,13,0,0,106,current
0x0BC4D8E494,JISG3192:H 700x300x13x24,active,,Japan,JIS G3192,H,H 700x300x13x24,,700,300,13.0,24.0,18,0,0,185,current
0x5A12D5C369,JISG3192:H 800x300x14x26,active,,Japan,JIS G3192,H,H 800x300x14x26,,800,300,14.0,26.0,18,0,0,210,current
0x8B91A1C6B4,JISG3192:H 900x300x16x28,active,,Japan,JIS G3192,H,H 900x300x16x28,,900,300,16.0,28.0,18,0,0,243,current
0xA36F26928A,KSD3502:H 200x200x8x12,active,,South Korea,KS D 3502,H,H 200x200x8x12,JIS H 200x200,200,200,8.0,12.0,13,0,0,49.9,current
0xE37A724BC7,KSD3502:H 300x300x10x15,active,,South Korea,KS D 3502,H,H 300x300x10x15,JIS H 300x300,300,300,10.0,15.0,13,0,0,93.0,current
0x836E0DC1F4,KSD3502:H 400x200x8x13,active,,South Korea,KS D 3502,H,H 400x200x8x13,JIS H 400x200,400,200,8.0,13.0,13,0,0,65.4,current
0xF71CD860AD,NBR15980:W150X13.0,active,,Brazil,ABNT NBR 15980,W,W150X13.0,,148,100,4.3,4.9,8,0,0,13.0,current
0xE17E1AAA8E,NBR15980:W250X25.3,active,,Brazil,ABNT NBR 15980,W,W250X25.3,,257,102,6.1,8.4,10,0,0,25.3,current
0x5ADD1050E3,NBR15980:W360X32.9,active,,Brazil,ABNT NBR 15980,W,W360X32.9,,349,127,5.8,8.5,10,0,0,32.9,current
0x8C0C329683,NBR15980:W610X101,active,,Brazil,ABNT NBR 15980,W,W610X101,,603,228,10.5,14.9,13,0,0,101,current
0x0A014789B8,NBR5884:CS 300x76,active,,Brazil,ABNT NBR 5884,CS,CS 300x76,,300,300,8.0,12.5,0,0,0,76,current
0x87A9E180AB,NBR5884:VS 400x49,active,,Brazil,ABNT NBR 5884,VS,VS 400x49,,400,200,6.3,9.5,0,0,0,49,current
